imagen_path,width,height,formato,modo,bits,brillo,saturation
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00023_descongelACE_resized._aug2.JPEG,256,256,JPEG,RGB,8,185.57139587402344,157.55560302734375
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00029_descongelACE_resized.JPEG,256,256,JPEG,RGB,8,190.0480194091797,167.1618194580078
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00014_descongelACE_resized._aug0.JPEG,256,256,JPEG,RGB,8,207.13638305664062,157.58575439453125
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00007_descongelACE_resized.JPEG,256,256,JPEG,RGB,8,169.5811004638672,159.26820373535156
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00027_descongelACE_resized._aug0.JPEG,256,256,JPEG,RGB,8,164.66644287109375,155.0757598876953
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00010_descongelACE_resized._aug2.JPEG,256,256,JPEG,RGB,8,90.85968017578125,118.10411071777344
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00002_descongelACE_resized._aug2.JPEG,256,256,JPEG,RGB,8,195.43673706054688,171.73023986816406
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00021_descongelACE_resized.JPEG,256,256,JPEG,RGB,8,138.94454956054688,164.46044921875
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00035_descongelACE_resized._aug0.JPEG,256,256,JPEG,RGB,8,151.1641845703125,167.21759033203125
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00019_descongelACE_resized._aug1.JPEG,256,256,JPEG,RGB,8,183.2727813720703,152.12710571289062
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00006_descongelACE_resized._aug0.JPEG,256,256,JPEG,RGB,8,17.285369873046875,180.8260955810547
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00031_descongelACE_resized._aug2.JPEG,256,256,JPEG,RGB,8,157.9272918701172,175.22601318359375
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00022_descongelACE_resized._aug0.JPEG,256,256,JPEG,RGB,8,148.87313842773438,168.24887084960938
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00015_descongelACE_resized._aug2.JPEG,256,256,JPEG,RGB,8,186.44371032714844,150.60006713867188
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00034_descongelACE_resized.JPEG,256,256,JPEG,RGB,8,150.675048828125,180.7742462158203
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00026_descongelACE_resized._aug2.JPEG,256,256,JPEG,RGB,8,193.66209411621094,158.28614807128906
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00011_descongelACE_resized._aug0.JPEG,256,256,JPEG,RGB,8,213.43504333496094,163.71295166015625
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00028_descongelACE_resized._aug4.JPEG,256,256,JPEG,RGB,8,193.17897033691406,133.17933654785156
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00003_descongelACE_resized._aug0.JPEG,256,256,JPEG,RGB,8,227.20986938476562,162.61529541015625
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00034_descongelACE_resized._aug2.JPEG,256,256,JPEG,RGB,8,171.13670349121094,172.9731903076172
