imagen_path,width,height,formato,modo,bits
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00008_descongelACE.JPEG,241,564,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00020_descongelACE.JPEG,204,534,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00014_descongelACE.JPEG,263,583,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00025_descongelACE.JPEG,325,339,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00011_descongelACE.JPEG,259,589,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00009_descongelACE.JPEG,517,1277,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00021_descongelACE.JPEG,356,590,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00015_descongelACE.JPEG,175,537,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00024_descongelACE.JPEG,234,556,JPEG,RGB,8
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset1/01_Descongel/00010_descongelACE.JPEG,129,497,JPEG,RGB,8
