imagen_path,width,height,formato,modo,bits,b,g,r,hue,brillo,saturation
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00023_descongelACE_resized._aug2.JPEG,256,256,JPEG,RGB,8,45.54583740234375,125.37004089355469,154.8095703125,25.426010131835938,185.57139587402344,157.55560302734375
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00029_descongelACE_resized.JPEG,256,256,JPEG,RGB,8,47.35771179199219,139.0415802001953,163.31564331054688,33.8251953125,190.0480194091797,167.1618194580078
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00014_descongelACE_resized._aug0.JPEG,256,256,JPEG,RGB,8,31.07135009765625,125.45166015625,152.78953552246094,30.660873413085938,207.13638305664062,157.58575439453125
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00007_descongelACE_resized.JPEG,256,256,JPEG,RGB,8,52.45741271972656,144.49549865722656,159.12493896484375,25.72021484375,169.5811004638672,159.26820373535156
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00027_descongelACE_resized._aug0.JPEG,256,256,JPEG,RGB,8,53.2625732421875,139.8531036376953,154.4840087890625,25.582244873046875,164.66644287109375,155.0757598876953
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00010_descongelACE_resized._aug2.JPEG,256,256,JPEG,RGB,8,76.98294067382812,106.744384765625,116.81787109375,20.97747802734375,90.85968017578125,118.10411071777344
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00002_descongelACE_resized._aug2.JPEG,256,256,JPEG,RGB,8,43.79026794433594,153.83506774902344,162.60488891601562,30.40240478515625,195.43673706054688,171.73023986816406
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00021_descongelACE_resized.JPEG,256,256,JPEG,RGB,8,77.72796630859375,143.32781982421875,161.62989807128906,29.68072509765625,138.94454956054688,164.46044921875
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00035_descongelACE_resized._aug0.JPEG,256,256,JPEG,RGB,8,73.58314514160156,141.84075927734375,163.254150390625,30.448074340820312,151.1641845703125,167.21759033203125
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00019_descongelACE_resized._aug1.JPEG,256,256,JPEG,RGB,8,39.87138366699219,135.18804931640625,151.2828826904297,30.86541748046875,183.2727813720703,152.12710571289062
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00006_descongelACE_resized._aug0.JPEG,256,256,JPEG,RGB,8,177.49696350097656,178.32618713378906,175.4153594970703,47.60125732421875,17.285369873046875,180.8260955810547
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00031_descongelACE_resized._aug2.JPEG,256,256,JPEG,RGB,8,65.73953247070312,154.93496704101562,172.52565002441406,27.526687622070312,157.9272918701172,175.22601318359375
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00022_descongelACE_resized._aug0.JPEG,256,256,JPEG,RGB,8,66.12255859375,154.91148376464844,168.11663818359375,26.161117553710938,148.87313842773438,168.24887084960938
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00015_descongelACE_resized._aug2.JPEG,256,256,JPEG,RGB,8,40.69651794433594,129.7117919921875,150.2144012451172,25.029541015625,186.44371032714844,150.60006713867188
/Users/chocoplot/Documents/codeLAB/signal_Recognition/python/Proyecto/datasets/Dataset_Final/01_Descongel/00034_descongelACE_resized.JPEG,256,256,JPEG,RGB,8,82.56292724609375,161.64207458496094,174.47372436523438,34.063873291015625,150.675048828125,180.7742462158203
